RC1-after,,
wcA,DF,1stO Diff
4379.43,21.46,-0.01
4403.07,21.58,0.12
4403.3,21.571,-0.009
4403.53,21.551,-0.02
4427.94,21.72,0.169
4428.17,21.67,-0.05
4428.41,21.69,0.02
4446.47,21.76,0.07
4456.52,21.96,0.2
4466.5,21.8,-0.16
4477.438293,21.84829268,0.048292683
4477.69,21.84940397,0.001111291
4484.62,21.88,0.030596026
4488.79,21.90795247,0.027952468
4501.03,21.99,0.082047532
4515.292285,22.11228493,0.122284934
4515.49,22.11398014,0.00169521
4523.19,22.18,0.066019856
4544.44,22.27,0.09
4555.57,22.131,-0.139
4570.05,22.37,0.239
4572.65,22.41,0.04
4595.26,22.47,0.06
4616.62,22.61,0.14
4635.37,22.73,0.12
4656.56,22.81,0.08
4676.56,22.92,0.11
4696.23,23.03,0.11
4716.79,23.12,0.09
4736.96,23.21,0.09
4756.86,23.26,0.05
4776.66,23.33,0.07
4795.73,23.38,0.05
4799.65,23.461,0.081
4814.2,23.46,-0.001
4835.44,23.57,0.11
4855.14,23.62,0.05
4858.88,23.66,0.04
4875.36,23.68,0.02
4891.34,23.62,-0.06
4895.28,23.77,0.15
4918.4,23.87,0.1
4941.41,24,0.13
4962.93,24.05,0.05
4984.64,24.17,0.12
5004.63,24.24,0.07
5005.54,24.24,0
5026.48,24.34,0.1
5048.07,24.41,0.07
5069.78,24.48,0.07
5090.48,24.621,0.141
5091.54,24.57,-0.051
5113.92,24.64,0.07
5129.86,24.70917545,0.069175449
5130.05,24.71,0.000824551
5134.22,24.75,0.04
5135.43,24.73,-0.02
5157.81,24.82,0.09
5171.49,24.881,0.061
5176.86,24.9,0.019
5177.7,24.88,-0.02
5200.46,24.99,0.11
5201.38,25,0.01
5222.82,25.08,0.08
5223.78,25.07,-0.01
5238.37,25.13,0.06
5242.98,25.15,0.02
5244.26,25.22,0.07
5264.03,25.25,0.03
5285.12,25.38,0.13
5306.2,25.49,0.11
5320.98,25.5,0.01
5330.47,25.57,0.07
5342.1,25.59999355,0.029993553
5342.67,25.60146357,0.001470019
5345.98,25.61,0.008536428
5363.98,25.68,0.07
5384.92,25.78,0.1
5400.15,25.85,0.07
5420.15,25.87,0.02
5443.76,25.96,0.09
5451.45,25.98,0.02
5457.95,26.02,0.04
5462.4,25.98,-0.04
5484.09,26.1,0.12
5504.77,26.23,0.13
5526.47,26.3,0.07
5548.86,26.4,0.1
5562.69,26.45,0.05
5563.79,26.45,0
5585.42,26.55,0.1
5586.6,26.55,0
5603.87,26.68,0.13
5624.62,26.77,0.09
5645.11,26.87,0.1
5664.98,26.96,0.09
5682.5,27.09,0.13
5700.8,27.13,0.04
5723.29,27.31,0.18
5738.19,27.34,0.03
5759.58,27.45,0.11
5783.33,27.54,0.09
5802.53,27.63,0.09
5803.85,27.63,0
5822.45,27.69,0.06
5832.15,27.75,0.06
5843.52,27.81,0.06
5864.11,27.91,0.1
5885.56,28.01,0.1
5893,28.05811085,0.048110855
5907.21,28.15,0.091889145
5929.31,28.25,0.1
5946.71,28.37,0.12
5952.66,28.42,0.05
5953.33,28.39,-0.03
5963.07,28.46,0.07
5979.82,28.53,0.07
5997.47,28.54,0.01
