RC2-after,,
wcAi,DF,1st Diff
34412.61,-281.89,-0.93
34475.86,-282.21,-0.32
34539.67,-282.72,-0.51
34603.76,-283.31,-0.59
34667.37,-284.28,-0.97
34731.03,-284.97,-0.69
34794.47,-285.9,-0.93
34857.82,-286.91,-1.01
34872.29,-289.56,-2.65
34880.38,-287.23,2.33
34943.78,-288.22,-0.99
35007.18,-288.63,-0.41
35071.42,-289.12,-0.49
35135.45,-289.49,-0.37
35199.54,-289.82,-0.33
35263.43,-290.33,-0.51
35327.05,-291.09,-0.76
35390.64,-292.1,-1.01
35454.87,-292.6,-0.5
35518.19,-293.11,-0.51
35582.05,-293.61,-0.5
35645.67,-294.3,-0.69
35708.99,-295.39,-1.09
35772.58,-295.95,-0.56
35836.37,-296.34,-0.39
35899.96,-296.81,-0.47
35963.7,-297.49,-0.68
36027.14,-298.41,-0.92
36090.05,-299.2,-0.79
36153.65,-299.83,-0.63
36193.34,-300.68,-0.85
36257.04,-301.53,-0.85
36320.75,-302.22,-0.69
36358.31,-302.73,-0.51
36375.41,-302.96,-0.23
36428.66,-303.86,-0.9
36479.06,-304.11,-0.25
36530.05,-304.81,-0.7
36584,-305.26,-0.45
36647.57,-305.96,-0.7
36711.58,-306.33,-0.37
36765.42,-306.68,-0.35
36818.51,-307.39,-0.71
36879.09,-307.8,-0.41
36942.67,-308.44,-0.64
37006.47,-308.69,-0.25
37070.16,-309.21,-0.52
37134.2,-309.6,-0.39
37197.6,-310.4,-0.8
37261.41,-310.97,-0.57
37325.39,-311.43,-0.46
37389.08,-312.06,-0.63
37452.99,-312.48,-0.42
37517.05,-312.81,-0.33
37542.83,-313.04,-0.23
37580.7,-313.38,-0.34
37644.59,-313.89,-0.51
37708.26,-314.34,-0.45
37722.17,-314.5,-0.16
37771.74,-315.07,-0.57
59982.13,-292.29,-0.15
60045.83,-292.54,-0.25
60109.54,-292.83,-0.29
60172.85,-293.04,-0.21
60236.74,-293.29,-0.25
60300.83,-293.48,-0.19
60364.74,-293.67,-0.19
60428.45,-293.92,-0.25
60492.42,-294.2,-0.28
60548.41,-294.41,-0.21
60602.78,-294.67,-0.26
60666.87,-294.91,-0.24
60730.59,-295.17,-0.26
60794.69,-295.42,-0.25
60858.64,-295.57,-0.15
60922.62,-295.79,-0.22
60986.7,-296.01,-0.22
61050.82,-296.18,-0.17
61114.89,-296.43,-0.25
61158.53,-296.52,-0.09
61222.62,-296.78,-0.26
61286.51,-296.95,-0.17
61350.49,-297.2,-0.25
61414.51,-297.34,-0.14
61478.48,-297.55,-0.21
61542.56,-297.78,-0.23
61606.61,-298.03,-0.25
61653.52,-298.88,-0.85
61670.72,-298.33,0.55
61724.18,-298.5,-0.17
61776.83,-298.81,-0.31
61840.89,-299,-0.19
61904.83,-299.22,-0.22
61968.97,-299.42,-0.2
62033.23,-299.56,-0.14
62097,-299.89,-0.33
62161.21,-300.07,-0.18
62225.22,-300.3,-0.23
62275.87,-300.48,-0.18
62339.96,-300.67,-0.19
62403.86,-300.93,-0.26
62467.79,-301.09,-0.16
62531.83,-301.42,-0.33
62590.34,-301.45,-0.03
62647.1,-301.59,-0.14
62693.67,-301.74,-0.15
62735.31,-301.86,-0.12
62799.4,-302.07,-0.21
62847.06,-302.23,-0.16
62902.94,-302.47,-0.24
62966.53,-302.64,-0.17
63030.57,-302.93,-0.29
63094.6,-303.18,-0.25
63158.43,-303.41,-0.23
63222.43,-303.64,-0.23
63286.32,-303.87,-0.23
63350.28,-304.1,-0.23
63413.95,-304.28,-0.18
63477.78,-304.36,-0.08
63541.88,-304.45,-0.09
63605.82,-304.74,-0.29
63669.85,-305.07,-0.33
63733.79,-305.36,-0.29
63797.77,-305.62,-0.26
63861.94,-305.84,-0.22
63925.98,-306.09,-0.25
63990.27,-306.36,-0.27
64041.46,-306.42,-0.06
64041.46,-306.42,0
64076.26,-306.72,-0.3
64076.26,-306.72,0
64140.36,-307.03,-0.31
64204.27,-307.28,-0.25
64268.38,-307.63,-0.35
64332.58,-307.93,-0.3
64384.53,-308.09,-0.16
64448.87,-308.32,-0.23
64512.96,-308.53,-0.21
64567.12,-308.75,-0.22
64631.02,-308.88,-0.13
64680.1,-309.07,-0.19
64744.07,-309.32,-0.25
64807.83,-309.61,-0.29
64861.05,-309.82,-0.21
64925.16,-309.97,-0.15
64989.16,-310.2,-0.23
65053.12,-310.21,-0.01
65117.23,-310.44,-0.23
65181.54,-310.77,-0.33
65245.47,-311.1,-0.33
65309.47,-311.41,-0.31
65373.52,-311.67,-0.26
65437.53,-311.93,-0.26
65501.5,-312.32,-0.39
65565.43,-312.63,-0.31
65629.44,-312.7,-0.07
65693.21,-313,-0.3
65757.19,-313.24,-0.24
65821.16,-313.55,-0.31
65821.16,-313.55,0
65849.66,-313.72,-0.17
65849.66,-313.72,0
65875.19,-313.89,-0.17
65939.47,-314.11,-0.22
66003.22,-314.43,-0.32
66067.27,-314.69,-0.26
66115.48,-314.83,-0.14
66179.38,-315.19,-0.36
66243.37,-315.46,-0.27
66307.51,-315.72,-0.26
66357,-315.94,-0.22
66421.02,-316.18,-0.24
66484.96,-316.43,-0.25
66548.86,-316.77,-0.34
66613.03,-316.94,-0.17
66677.06,-317.21,-0.27
66717.87,-317.35,-0.14
66781.89,-317.62,-0.27
66845.86,-317.85,-0.23
66910.03,-318.03,-0.18
66959.25259,-318.1374059,-0.10740591
66950.53,-318.1183728,0.019033092
66974.19,-318.17,-0.051627182
67019.62,-318.34,-0.17
67083.68,-318.67,-0.33
67147.6,-319.01,-0.34
67211.78,-319.28,-0.27
67275.8,-319.61,-0.33
67339.89,-319.86,-0.25
67403.98,-320.07,-0.21
67468.07,-320.29,-0.22
67512.98,-320.44,-0.15
67532.32,-320.51,-0.07
67596.39,-320.8,-0.29
67654.23,-321.06,-0.26
67679.38,-321.2,-0.14
67714.99,-321.35,-0.15
67750.34,-321.53,-0.18
67814.37,-321.86,-0.33
67852.1,-322.1,-0.24
67916.15,-322.33,-0.23
67980.18,-322.79,-0.46
68044.07,-323.23,-0.44
68107.96,-323.61,-0.38
68171.84,-323.96,-0.35
68235.73,-324.35,-0.39
68299.48,-324.7,-0.35
68363.53,-324.94,-0.24
68427.59,-325.24,-0.3
68482.86,-325.52,-0.28
68546.93,-325.8,-0.28
68610.96,-326.19,-0.39
68675.07,-326.56,-0.37
68739.1,-326.89,-0.33
68803.03,-327.25,-0.36
68866.95,-327.51,-0.26
68930.93,-327.82,-0.31
68994.94,-328.13,-0.31
69059.19,-328.47,-0.34
69122.33,-328.85,-0.38
69186.33,-329.19,-0.34
69250.35,-329.43,-0.24
69314.37,-329.68,-0.25
69378.44,-330.05,-0.37
69442.43,-330.38,-0.33
69506.53,-330.74,-0.36
69560.35,-331.07,-0.33
69605.69,-331.3,-0.23
69669.82,-331.65,-0.35
69733.82,-332.06,-0.41
69797.54,-332.47,-0.41
69844.95,-332.77,-0.3
69909.06,-333.21,-0.44
69955.77,-333.43,-0.22
69979.08,-333.52,-0.09
70042.63,-333.73,-0.21
70106.46,-334.02,-0.29
70152.32,-334.26,-0.24
70216.31,-334.64,-0.38
70269,-334.99,-0.35
70332.94,-335.41,-0.42
70379.57,-335.6,-0.19
70406.58,-335.67,-0.07
70406.6,-335.67,0
70423.95,-335.7,-0.03
70441.14,-335.73,-0.03
70465.21,-335.77,-0.04
70494.56,-335.85,-0.08
70534.54,-335.85,0
70570.1,-335.94,-0.09
70601.21,-336.02,-0.08
70622.76,-336.05,-0.03
70647,-336.06,-0.01
70680.74,-336.16,-0.1
70704.14,-336.16,-1.46E-11
70731.54,-336.27,-0.11
70757.4,-336.36,-0.09
70788.79,-336.48,-0.12
70828.68,-336.78,-0.3
70868.24,-336.97,-0.19
70888.33,-337.06,-0.09
70913.74,-337.17,-0.11
70942.08,-337.3,-0.13
70976.42,-337.45,-0.15
71006.56,-337.58,-0.13
71037.17,-337.75,-0.17
71060.19,-337.85,-0.1
71100.03,-338.13,-0.28
71139.92,-338.25,-0.12
71165.3,-338.4,-0.15
71205.19,-338.56,-0.16
71245.09,-338.83,-0.27
71284.88,-339.1,-0.27
71308.74,-339.26,-0.16
71348.66,-339.46,-0.2
71388.56,-339.7,-0.24
71428.45,-339.9,-0.2
71468.34,-340.15,-0.25
71508.22,-340.4,-0.25
71548.13,-340.65,-0.25
