RC3-before,,
wcAi,Distortion,1st Ord Diff
16345.12,-15.01,-0.8
16390.17,-15.34,-0.33
16435.27,-15.66,-0.32
16455.61,-12.53,3.13
16480.4,-15.98,-3.45
16499.75,-12.8,3.18
16511.23,-16.33,-3.53
16533.19,-12.74,3.59
16535.91,-16.3,-3.56
16544.51,-16.73,-0.43
16555.93,-16.94,-0.21
16580.24,-16.37,0.57
16601.05,-17.22,-0.85
16608.63,-17.28,-0.06
16647.67,-17.55,-0.27
16692.84,-17.82,-0.27
16737.99,-18.07,-0.25
16783.22,-18.28,-0.21
16828.41,-18.5,-0.22
16873.67,-18.66,-0.16
16918.84,-18.92,-0.26
16964.09,-19.13,-0.21
17009.29,-19.38,-0.25
17054.54,-19.58,-0.2
17099.86,-19.72,-0.14
17145.02,-19.99,-0.27
17190.3,-20.16,-0.17
17235.57,-20.36,-0.2
17280.85,-20.52,-0.16
17326.11,-20.74,-0.22
17371.38,-20.92,-0.18
17416.64,-21.13,-0.21
17461.98,-21.26,-0.13
17507.28,-21.37,-0.11
17552.58,-21.54,-0.17
17597.86,-21.68,-0.14
17643.18,-21.84,-0.16
17688.48,-22,-0.16
17733.73,-22.13,-0.13
17767.22,-22.18,-0.05
17779.11,-22.2,-0.02
17824.38,-22.33,-0.13
17862.82,-22.44,-0.11
17908.19,-22.5,-0.06
17917.01,-22.59,-0.09
17945.08,-24.12,-1.53
17953.68,-22.52,1.6
17958.9,-22.61,-0.09
17986.33,-23.1,-0.49
17999.2,-22.54,0.56
18044.59,-22.6,-0.06
18089.92,-22.7,-0.1
18135.22,-22.81,-0.11
18180.49,-22.97,-0.16
18225.78,-23.08,-0.11
18271.07,-23.14,-0.06
18316.4,-23.22,-0.08
18361.7,-23.32,-0.1
18407.05,-23.36,-0.04
18452.36,-23.44,-0.08
18497.62,-23.53,-0.09
18542.89,-23.6,-0.07
18588.23,-23.65,-0.05
18633.56,-23.75,-0.1
18678.89,-23.84,-0.09
18724.24,-23.9,-0.06
18769.6,-23.95,-0.05
18814.93,-24.03,-0.08
18860.24,-24.11,-0.08
18905.54,-24.22,-0.11
18950.81,-24.33,-0.11
18996.1,-24.44,-0.11
19041.41,-24.55,-0.11
19086.74,-24.64,-0.09
19132.09,-24.72,-0.08
19177.38,-24.74,-0.02
19222.72,-24.84,-0.1
19268.02,-24.93,-0.09
19313.31,-25.02,-0.09
19358.63,-25.09,-0.07
19403.98,-25.14,-0.05
19449.31,-25.21,-0.07
19475.49,-25.24,-0.03
19520.84,-25.29,-0.05
19546.69,-25.35,-0.06
19592.02,-25.4,-0.05
19617.72,-25.43,-0.03
19663.09,-25.48,-0.05
19699.71,-25.52,-0.04
19745.11,-25.55,-0.03
19763.78,-25.59,-0.04
19773.51,-26.19,-0.6
19789.71,-25.72,0.47
19817.42,-28.05,-2.33
19834.9,-25.87,2.18
19855.83,-26.76,-0.89
19880.14,-26.07,0.69
19890.41,-26.88,-0.81
19893.43,-36.83,-9.95
19904.01,-71.63,-34.8
19949.16,-71.79,-0.16
19994.38,-71.99,-0.2
20039.68,-72.11,-0.12
20085.06,-72.17,-0.06
20130.33,-72.34,-0.17
20175.63,-72.43,-0.09
20220.93,-72.52,-0.09
20266.21,-72.61,-0.09
20311.45,-72.75,-0.14
20356.71,-72.88,-0.13
20402.05,-72.96,-0.08
20447.34,-73.06,-0.1
20492.64,-73.16,-0.1
20537.97,-73.22,-0.06
20583.26,-73.36,-0.14
20628.56,-73.46,-0.1
20673.82,-73.58,-0.12
20719.14,-73.65,-0.07
20764.43,-73.79,-0.14
20809.71,-73.93,-0.14
20855,-74.07,-0.14
20900.3,-74.12,-0.05
20945.54,-74.27,-0.15
20990.88,-74.39,-0.12
21036.24,-74.48,-0.09
21081.52,-74.59,-0.11
21126.83,-74.67,-0.08
21172.15,-74.74,-0.07
21217.46,-74.85,-0.11
21262.78,-74.95,-0.1
21308.06,-75.07,-0.12
21353.37,-75.17,-0.1
21398.71,-75.21,-0.04
21444.02,-75.33,-0.12
21489.37,-75.34,-0.01
21534.63,-75.47,-0.13
21579.96,-75.5,-0.03
21625.26,-75.58,-0.08
21670.61,-75.59,-0.01
21715.95,-75.59,0
21761.22,-75.71,-0.12
21806.57,-75.7,0.01
21851.89,-75.71,-0.01
21897.21,-56.31,19.4
21923.12,-59.82,-3.51
21952.48,-75.88,-16.06
21997.79,-75.92,-0.04
22043.15,-75.98,-0.06
22088.54,-76.01,-0.03
22133.94,-74.94,1.07
22178.26,-75.98,-1.04
22223.63,-76.03,-0.05
22268.99,-76.08,-0.05
22314.38,-76.1,-0.02
22359.78,-76.07,0.03
22370.78,-65.47,10.6
22405.24,-32.26,33.21
22405.27,-32.25,0.01
22406.78,-31.74,0.51
22407.26,-31.91,-0.17
22407.26,-31.91,0
22407.83,-31.34,0.57
22408.28,-31.29,0.05
22408.34,-31.28,0.01
22408.34,-31.28,0
22409.37,-30.92,0.36
22410.4,-30.84,0.08
22410.4,-30.84,0
22410.9,-30.78,0.06
22411.29,-30.87,-0.09
22411.73,-30.91,-0.04
22412.51,-30.88,0.03
22413.27,-30.86,0.02
22413.29,-30.86,0
22433.32,-30.64,0.22
22458.19,-30.96,-0.32
22503.38,-31.07,-0.11
22516.01,-30.76,0.31
22519.56,-31.16,-0.4
22543.22,-31.8,-0.64
22563.77,-31.34,0.46
22609.03,-31.5,-0.16
22654.3,-31.63,-0.13
22699.58,-31.69,-0.06
22744.83,-31.83,-0.14
22790.14,-31.91,-0.08
22835.44,-31.99,-0.08
22880.75,-32.09,-0.1
22918.56,-32.17,-0.08
22926.07,-32.19,-0.02
22971.39,-32.28,-0.09
23004.1,-32.29,-0.01
23049.43,-32.37,-0.08
23094.73,-32.54,-0.17
23140.01,-32.72,-0.18
23185.27,-32.88,-0.16
23230.57,-33,-0.12
23275.93,-33.02,-0.02
23321.2,-33.18,-0.16
23366.43,-33.29,-0.11
23411.5,-33.49,-0.2
23456.75,-33.56,-0.07
23488.5,-33.58,-0.02
23519.64,-33.65,-0.07
23526.44,-33.67,-0.02
23536.07,-33.67,0
23581.45,-33.69,-0.02
23626.85,-33.7,-0.01
23663.32,-33.7,0
23708.71,-33.68,0.02
23716.35,-33.74,-0.06
23747.13,-33.82,-0.08
23792.5,-33.83,-0.01
23820.33,-30.19,3.64
23837.98,-33.73,-3.54
23883.33,-33.77,-0.04
23928.69,-33.81,-0.04
23974.05,-33.84,-0.03
24019.39,-33.89,-0.05
24064.77,-33.9,-0.01
24109.99,-33.92,-0.02
24155.31,-33.89,0.03
24200.55,-34,-0.11
24245.83,-34.06,-0.06
24288.32,-34.1,-0.04
24333.7,-34.09,0.01
24378.94,-34.14,-0.05
24424.19,-34.18,-0.04
24469.39,-34.27,-0.09
24514.63,-34.34,-0.07
24559.89,-34.39,-0.05
24605.13,-34.4,-0.01
24650.43,-34.43,-0.03
24695.64,-34.51,-0.08
24740.86,-34.6,-0.09
24786.12,-34.64,-0.04
24831.37,-34.67,-0.03
24876.65,-34.71,-0.04
24921.86,-34.81,-0.1
24967.21,-34.8,0.01
25012.4,-34.89,-0.09
25057.71,-34.95,-0.06
25102.86,-34.99,-0.04
25148.11,-35.1,-0.11
25193.39,-35.15,-0.05
25238.63,-35.21,-0.06
25283.87,-35.27,-0.06
25329.13,-35.26,0.01
25374.4,-35.28,-0.02
25419.7,-35.31,-0.03
25464.98,-35.37,-0.06
25510.25,-35.39,-0.02
25555.53,-35.46,-0.07
25600.8,-35.53,-0.07
25646.04,-35.6,-0.07
25691.28,-35.66,-0.06
25736.31,-35.69,-0.03
25781.65,-35.7,-0.01
25826.89,-35.74,-0.04
25872.13,-35.79,-0.05
25897.88,-35.83,-0.04
25943.16,-35.89,-0.06
25988.42,-35.91,-0.02
26033.27,-36.04,-0.13
26078.53,-36.06,-0.02
26123.75,-36.11,-0.05
26168.92,-36.12,-0.01
26214.1,-36.27,-0.15
26259.31,-36.35,-0.08
26304.61,-36.41,-0.06
26349.88,-36.49,-0.08
26395.12,-36.53,-0.04
26430.73,-36.57,-0.04
26475.91,-36.68,-0.11
26521.12,-36.74,-0.06
26566.41,-36.79,-0.05
26611.73,-36.75,0.04
26656.96,-36.86,-0.11
26702.22,-36.91,-0.05
26747.41,-37.01,-0.1
26792.62,-37.12,-0.11
26837.83,-37.19,-0.07
26883.03,-37.31,-0.12
26928.26,-37.4,-0.09
26973.42,-37.47,-0.07
27018.69,-37.55,-0.08
27063.92,-37.65,-0.1
27109.22,-37.7,-0.05
27154.47,-37.76,-0.06
27199.75,-37.87,-0.11
27244.97,-37.95,-0.08
27290.21,-38.01,-0.06
27335.43,-38.12,-0.11
27380.66,-38.18,-0.06
27425.91,-38.24,-0.06
27471.13,-38.33,-0.09
27516.31,-38.49,-0.16
27561.54,-38.6,-0.11
27606.78,-38.7,-0.1
27651.96,-38.84,-0.14
27697.12,-38.95,-0.11
27740.93,-39.11,-0.16
27751.48,-39.17,-0.06
27759.22,-39.83,-0.66
27796.1,-39.24,0.59
27841.32,-39.38,-0.14
27886.45,-39.53,-0.15
27931.68,-39.65,-0.12
27967.35,-39.18,0.47
27973.2,-39.1,0.08
27976.95,-39.74,-0.64
28022.17,-39.84,-0.1
28056.73,-39.87,-0.03
28101.94,-40.01,-0.14
28147.21,-40.1,-0.09
28192.43,-40.27,-0.17
28237.75,-40.3,-0.03
28282.94,-40.42,-0.12
28328.18,-40.49,-0.07
28373.42,-40.54,-0.05
28418.68,-40.61,-0.07
28463.92,-40.71,-0.1
28509.15,-40.79,-0.08
28554.35,-40.87,-0.08
28599.66,-40.95,-0.08
28625.96,-41,-0.05
28644.89,-41.03,-0.03
28690.14,-41.08,-0.05
28735.34,-41.21,-0.13
28780.59,-41.28,-0.07
28825.77,-41.41,-0.13
28837.95,-43.32,-1.91
28871.03,-41.53,1.79
28916.21,-41.6,-0.07
28934.69,-41.53,0.07
28961.56,-41.59,-0.06
29006.78,-41.7,-0.11
29047.91,-41.79,-0.09
29051.9,-41.8,-0.01
29097.03,-41.95,-0.15
29142.19,-42.1,-0.15
29159.27,-40.02,2.08
29187.41,-42.23,-2.21
29200.67,-39.83,2.4
29232.45,-42.49,-2.66
29243.26,-40.74,1.75
29270.68,-42.58,-1.84
29315.82,-42.77,-0.19
29346.59,-42.93,-0.16
29356.97,-42.18,0.75
29379.07,-40.58,1.6
29391.99,-42.9,-2.32
29423.73,-42.91,-0.01
29468.89,-43.02,-0.11
29514.06,-43.14,-0.12
29555.00246,-43.35753799,-0.217537987
29531.32,-43.23170689,0.125831102
29559.23,-43.38,-0.148293115
29604.5,-43.46,-0.08
29649.75,-43.6,-0.14
29694.98,-43.76,-0.16
29740.27,-43.86,-0.1
29784.97,-43.98,-0.12
29830.25,-44.07,-0.09
29875.52,-44.17,-0.1
29920.8,-44.22,-0.05
29950.94,-44.26,-0.04
29996.2,-44.35,-0.09
30041.43,-44.45,-0.1
30086.65,-44.52,-0.07
30131.9,-44.62,-0.1
30177.12,-44.74,-0.12
30222.36,-44.82,-0.08
30267.55,-44.96,-0.14
30312.78,-45.08,-0.12
30357.93,-45.21,-0.13
30403.15,-45.33,-0.12
30448.4,-45.42,-0.09
30481.27,-45.48,-0.06
30497.51,-43.83,1.65
30511.35,-45.56,-1.73
30556.57,-45.7,-0.14
30601.74,-45.83,-0.13
30640.52,-46.04,-0.21
30646.97,-45.9,0.14
30692.31,-45.88,0.02
30737.54,-45.98,-0.1
30782.84,-45.98,0
30828.13,-46.06,-0.08
30873.42,-46.1,-0.04
30918.75,-46.08,0.02
30964.05,-46.11,-0.03
31009.29,-46.15,-0.04
31054.57,-46.19,-0.04
31099.84,-46.24,-0.05
31145.14,-46.29,-0.05
31190.41,-46.42,-0.13
31235.74,-46.42,3.64E-12
31281.13,-46.44,-0.02
31326.41,-46.46,-0.02
31371.7,-46.52,-0.06
31416.9,-46.63,-0.11
31462.11,-46.77,-0.14
31507.3,-46.83,-0.06
31552.52,-46.88,-0.05
31597.74,-46.98,-0.1
31643.01,-47.03,-0.05
31688.25,-47.13,-0.1
31733.44,-47.22,-0.09
